anime_id,title,score,genre,studio,numEpi,releaseDate,numReviews,tomatometer,popcornmeter
83,one piece,7.09,Action,Toei Animation,1,"Mar 4, 2000",81488,NULL,9.2
84,one piece,7.09,Action,Toei Animation,1,"Mar 4, 2000",81488,NULL,NULL
85,one punch man,8.49,Action,Madhouse,12,"Oct 5, 2015 to Dec 21, 2015",2295434,10.0,9.0
86,onimusha,6.56,Action,Sublimation,8,"Nov 2, 2023",5506,10.0,7.9
87,onmyoji,6.95,Drama,Marvy Jack,13,"Nov 28, 2023",3565,NULL,7.5
88,orb: on the movements of the earth,8.27,Drama,Madhouse,25,"Oct 5, 2024 to ?",13258,NULL,NULL
89,oshi no ko: my star,null,,null,null,null,null,NULL,9.5
90,overlord,7.91,Action,Madhouse,13,"Jul 7, 2015 to Sep 29, 2015",980358,NULL,8.3
91,pantheon,null,,null,null,null,null,10.0,9.4
92,parasyte: the maxim,8.33,Action,Madhouse,24,"Oct 9, 2014 to Mar 26, 2015",1189480,NULL,9.1
93,pluto,8.46,Action,Studio M2,8,"Oct 26, 2023",82696,10.0,9.5
94,pokémon concierge,7.69,Fantasy,dwarf,4,"Dec 28, 2023",7618,10.0,8.9
95,pokémon horizons: the series,7.41,Action,OLM,,"Apr 14, 2023 to ?",7682,NULL,NULL
96,pokémon the series,null,,null,null,null,null,NULL,7.5
97,psycho-pass サイコパス,null,,null,null,null,null,NULL,7.9
98,ranking of kings,8.5,Adventure,Wit Studio,23,"Oct 15, 2021 to Mar 25, 2022",360678,NULL,9.1
99,ranma 1/2,7.77,Action,Studio Deen,161,"Apr 15, 1989 to Sep 25, 1992",125388,NULL,NULL
100,record of ragnarok,6.8,Action,Graphinica,12,"Jun 17, 2021",191369,NULL,7.5
101,resident evil: infinite darkness,6.26,Action,TMS Entertainment,4,"Jul 8, 2021",10064,5.0,4.1
102,rick and morty: the anime,null,,null,null,null,null,5.0,1.6
